conjunto,modelo,semilla,acc,bal_acc,f1_yes,ranking_proxy,auc,logloss,brier,ece,acc@30%,acc@50%,acc_None,acc_Negative,acc_Positive
A-core (8v),RF-balanceado,6,0.7582,0.7393,0.807,0.7045,0.8357,0.829,0.1557,0.0564,0.9259,0.9111,1.0,0.889,0.592
A-core (8v),RF-balanceado,7,0.7692,0.7589,0.8108,0.7108,0.8408,0.8226,0.1531,0.086,0.9259,0.9111,1.0,0.889,0.612
A-core (8v),RF-balanceado,8,0.7582,0.7446,0.8036,0.7028,0.8296,0.8322,0.1576,0.0779,0.9259,0.9333,1.0,0.889,0.592
A-core (8v),RF-balanceado,9,0.7473,0.7196,0.8034,0.6984,0.8342,0.8301,0.1567,0.093,0.9259,0.9333,1.0,0.889,0.571
A-core (8v),RF,0,0.7473,0.7196,0.8034,0.6984,0.8337,0.8288,0.1562,0.0606,0.9259,0.9333,1.0,0.889,0.571
A-core (8v),RF,1,0.7692,0.7321,0.8264,0.7186,0.8276,0.8362,0.159,0.1187,0.9259,0.9333,1.0,0.889,0.612
A-core (8v),RF,2,0.7582,0.7179,0.8197,0.7109,0.8388,0.8305,0.1566,0.1039,0.9259,0.9111,1.0,0.889,0.592
A-core (8v),RF,3,0.7912,0.7554,0.843,0.7356,0.851,0.8199,0.1516,0.0888,0.9259,0.9333,1.0,0.889,0.653
A-core (8v),RF,4,0.7802,0.7464,0.8333,0.7264,0.8306,0.8404,0.1607,0.1162,0.9259,0.9111,1.0,0.889,0.633
A-core (8v),RF,5,0.7912,0.7661,0.8376,0.7329,0.8276,0.837,0.1593,0.1339,0.9259,0.9111,1.0,0.889,0.653
A-core (8v),RF,6,0.7692,0.7429,0.8205,0.7156,0.8342,0.8361,0.1585,0.1065,0.9259,0.8889,1.0,0.889,0.612
A-core (8v),RF,7,0.7802,0.7518,0.8305,0.725,0.8393,0.8293,0.1559,0.0922,0.9259,0.9111,1.0,0.889,0.633
A-core (8v),RF,8,0.7473,0.7089,0.8099,0.7016,0.827,0.8412,0.1611,0.1137,0.9259,0.9111,1.0,0.889,0.571
A-core (8v),RF,9,0.7473,0.7143,0.8067,0.7,0.8301,0.8389,0.1602,0.1016,0.9259,0.9111,1.0,0.889,0.571
A-core (8v),kNN-10-dist,0,0.6813,0.6554,0.7478,0.6444,0.7893,0.8733,0.1763,0.1096,0.9259,0.8889,1.0,0.889,0.449
A-core (8v),kNN-10-dist,1,0.6923,0.6696,0.7544,0.652,0.7898,0.8755,0.1772,0.1027,0.9259,0.8889,1.0,0.889,0.469
