mode,mask,coalition,on_M1,on_M2,on_M3,on_M4,on_E1,on_E3,ranking,gate,f1_yes,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
honest,46,M2+M3+M4+E3,0,1,1,1,0,1,0.7714843418689572,0.8241758241758241,0.8666666666666667,0.7933333333333333,0.8384197530864198,0.7670661190661191,0.8677777777777778,0.8406349206349207
honest,47,M1+M2+M3+M4+E3,1,1,1,1,0,1,0.7721024737370892,0.8241758241758241,0.8666666666666667,0.8,0.8384197530864198,0.7670661190661191,0.8677777777777778,0.8406349206349207
honest,48,E1+E3,0,0,0,0,1,1,0.6597745304669818,0.6703296703296703,0.7761194029850746,0.7540983606557377,0.8404371584699454,0.7606962254503239,0.866120218579235,0.8391881342701015
honest,49,M1+E1+E3,1,0,0,0,1,1,0.6610107942032455,0.6703296703296703,0.7761194029850746,0.7704918032786885,0.8404371584699454,0.7606962254503239,0.866120218579235,0.8391881342701015
honest,50,M2+E1+E3,0,1,0,0,1,1,0.6817207650443118,0.7032967032967034,0.7938931297709924,0.75,0.8390625,0.7610628954378954,0.8684895833333334,0.8392857142857143
honest,51,M1+M2+E1+E3,1,1,0,0,1,1,0.6829570287805755,0.7032967032967034,0.7938931297709924,0.765625,0.8390625,0.7610628954378954,0.8684895833333334,0.8392857142857143
honest,52,M3+E1+E3,0,0,1,0,1,1,0.7063396254742409,0.7362637362637363,0.8095238095238095,0.7910447761194029,0.8400221116639027,0.7648674708376201,0.8631840796019901,0.8393745557924662
honest,53,M1+M3+E1+E3,1,0,1,0,1,1,0.7075758892105046,0.7362637362637363,0.8095238095238095,0.8059701492537313,0.8400221116639027,0.7648674708376201,0.8631840796019901,0.8393745557924662
honest,54,M2+M3+E1+E3,0,1,1,0,1,1,0.7292712382381707,0.7692307692307693,0.8292682926829268,0.7857142857142857,0.8387830687830687,0.7650239443096586,0.8654761904761905,0.8394557823129253
honest,55,M1+M2+M3+E1+E3,1,1,1,0,1,1,0.7305075019744345,0.7692307692307693,0.8292682926829268,0.8,0.8387830687830687,0.7650239443096586,0.8654761904761905,0.8394557823129253
honest,56,M4+E1+E3,0,0,0,1,1,1,0.6959053497397683,0.7252747252747253,0.8031496062992126,0.75,0.8414141414141414,0.7666516143788871,0.8686868686868687,0.8401875901875903
honest,57,M1+M4+E1+E3,1,0,0,1,1,1,0.697141613476032,0.7252747252747253,0.8031496062992126,0.7651515151515151,0.8414141414141414,0.7666516143788871,0.8686868686868687,0.8401875901875903
honest,58,M2+M4+E1+E3,0,1,0,1,1,1,0.7186802403551784,0.7582417582417582,0.8225806451612904,0.7463768115942029,0.840096618357488,0.7667327841240884,0.8707729468599034,0.8402346445824707
honest,59,M1+M2+M4+E1+E3,1,1,0,1,1,1,0.7199165040914421,0.7582417582417582,0.8225806451612904,0.7608695652173914,0.840096618357488,0.7667327841240884,0.8707729468599034,0.8402346445824707
honest,60,M3+M4+E1+E3,0,0,1,1,1,1,0.7357273211119365,0.7802197802197802,0.8333333333333334,0.7816901408450704,0.8405842462180491,0.7667979907416527,0.863849765258216,0.84037558685446
honest,61,M1+M3+M4+E1+E3,1,0,1,1,1,1,0.7369635848482002,0.7802197802197802,0.8333333333333334,0.795774647887324,0.8405842462180491,0.7667979907416527,0.863849765258216,0.84037558685446
honest,62,M2+M3+M4+E1+E3,0,1,1,1,1,1,0.7594704529800684,0.8131868131868132,0.8547008547008547,0.777027027027027,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
honest,63,M1+M2+M3+M4+E1+E3,1,1,1,1,1,1,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
deployed,0,none,0,0,0,0,0,0,0.5971345481441634,0.6153846153846154,0.7619047619047619,0.25892857142857145,0.8464285714285714,0.7654919485276628,0.8705357142857143,0.8401360544217688
